Waf: Entering directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Waf: Leaving directory `/home/jiaming/Downloads/Mesh_NS3/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.500s)
read locations done
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 160.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
111.00	0.01	0.05	0.04	0.04	0.03	0.06	0.05	0.06	0.04	0.03	0.04	0.06	0.06	0.06	0.03	0.05	0.03	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.04	0.04
112.00	0.08	0.06	0.06	0.05	0.06	0.06	0.05	0.06	0.06	0.06	0.05	0.04	0.04	0.01	0.05	0.06	0.04	0.03	0.04	0.04	0.05	0.03	0.04	0.04	0.04	0.03
113.00	0.04	0.03	0.06	0.03	0.04	0.03	0.05	0.03	0.06	0.05	0.06	0.04	0.06	0.03	0.05	0.03	0.01	0.03	0.04	0.05	0.04	0.05	0.03	0.05	0.05	0.05
114.00	0.05	0.04	0.04	0.05	0.06	0.06	0.03	0.03	0.04	0.05	0.06	0.06	0.02	0.04	0.05	0.04	0.04	0.04	0.06	0.05	0.06	0.04	0.03	0.06	0.05	0.06
115.00	0.05	0.06	0.03	0.06	0.08	0.03	0.04	0.04	0.06	0.02	0.02	0.06	0.04	0.03	0.06	0.04	0.03	0.03	0.06	0.08	0.06	0.02	0.04	0.03	0.08	0.06
116.00	0.05	0.06	0.03	0.06	0.02	0.04	0.03	0.04	0.03	0.04	0.04	0.03	0.04	0.04	0.03	0.06	0.03	0.03	0.01	0.05	0.04	0.04	0.03	0.06	0.06	0.05
117.00	0.06	0.02	0.06	0.06	0.05	0.05	0.05	0.04	0.04	0.05	0.05	0.06	0.04	0.05	0.03	0.06	0.04	0.04	0.07	0.06	0.03	0.03	0.06	0.03	0.02	0.03
118.00	0.03	0.06	0.05	0.02	0.04	0.06	0.04	0.06	0.05	0.06	0.05	0.03	0.08	0.06	0.06	0.06	0.04	0.04	0.04	0.03	0.03	0.05	0.05	0.05	0.06	0.04
119.00	0.04	0.03	0.05	0.07	0.04	0.06	0.05	0.06	0.05	0.05	0.05	0.03	0.01	0.02	0.04	0.01	0.06	0.05	0.04	0.04	0.05	0.05	0.06	0.04	0.04	0.04
120.00	0.03	0.04	0.05	0.04	0.06	0.04	0.03	0.05	0.06	0.03	0.04	0.04	0.06	0.06	0.05	0.08	0.04	0.06	0.05	0.04	0.05	0.06	0.02	0.05	0.04	0.06
121.00	0.05	0.05	0.06	0.04	0.05	0.03	0.03	0.03	0.04	0.06	0.06	0.05	0.04	0.03	0.06	0.03	0.06	0.05	0.06	0.06	0.05	0.06	0.04	0.06	0.05	0.06
122.00	0.06	0.06	0.03	0.05	0.06	0.03	0.05	0.03	0.03	0.03	0.03	0.06	0.04	0.04	0.05	0.05	0.03	0.03	0.06	0.06	0.06	0.04	0.05	0.04	0.03	0.06
123.00	0.05	0.03	0.03	0.06	0.05	0.04	0.04	0.03	0.03	0.03	0.03	0.05	0.05	0.05	0.06	0.02	0.03	0.03	0.05	0.05	0.04	0.06	0.05	0.03	0.05	0.04
124.00	0.02	0.06	0.05	0.07	0.03	0.06	0.06	0.05	0.06	0.06	0.05	0.03	0.06	0.06	0.03	0.04	0.04	0.06	0.03	0.08	0.06	0.03	0.07	0.04	0.04	0.03
125.00	0.04	0.03	0.04	0.04	0.04	0.05	0.06	0.06	0.06	0.06	0.06	0.05	0.05	0.06	0.03	0.03	0.06	0.05	0.05	0.06	0.03	0.04	0.03	0.04	0.04	0.03
126.00	0.03	0.04	0.06	0.03	0.04	0.03	0.04	0.03	0.04	0.05	0.05	0.05	0.03	0.04	0.04	0.03	0.04	0.04	0.05	0.06	0.05	0.04	0.06	0.03	0.04	0.03
127.00	0.06	0.05	0.01	0.04	0.06	0.06	0.03	0.06	0.06	0.04	0.01	0.04	0.06	0.03	0.04	0.03	0.06	0.05	0.06	0.03	0.05	0.06	0.03	0.06	0.04	0.04
128.00	0.06	0.06	0.07	0.05	0.06	0.03	0.03	0.03	0.03	0.03	0.07	0.06	0.04	0.04	0.05	0.05	0.06	0.03	0.05	0.05	0.05	0.05	0.05	0.07	0.06	0.06
129.00	0.05	0.05	0.03	0.05	0.04	0.03	0.04	0.03	0.07	0.03	0.03	0.01	0.04	0.04	0.05	0.02	0.03	0.03	0.04	0.05	0.04	0.03	0.04	0.04	0.02	0.04
130.00	0.06	0.07	0.03	0.06	0.06	0.06	0.04	0.05	0.03	0.05	0.03	0.06	0.05	0.05	0.05	0.06	0.04	0.04	0.06	0.06	0.06	0.06	0.06	0.03	0.06	0.05
131.00	0.03	0.03	0.06	0.06	0.03	0.04	0.07	0.06	0.04	0.05	0.06	0.03	0.06	0.06	0.03	0.03	0.04	0.04	0.04	0.06	0.03	0.04	0.06	0.03	0.04	0.03
132.00	0.03	0.07	0.05	0.03	0.05	0.05	0.03	0.04	0.06	0.05	0.06	0.04	0.06	0.05	0.03	0.03	0.06	0.06	0.04	0.02	0.04	0.04	0.02	0.05	0.03	0.04
